u,g,r,i,z,Teff,FeH
18.51254,17.12438,16.53009,16.29596,16.16014,5613,-0.94
18.48567,17.23497,16.73623,16.56257,16.50287,5651,-0.32
24.02062,21.08169,19.79842,19.29272,18.92611,4382,-0.28
19.35893,17.89577,17.24237,16.99044,16.85701,6155,-0.15
19.51472,18.20191,17.63909,17.40331,17.28823,5630,-0.45
18.17326,17.10972,16.73453,16.57569,16.48905,6000,-2
23.15673,20.16103,18.82322,18.1648,17.8949,3962,-0.36
17.86744,17.83661,18.22575,18.49767,18.74954,9000,-2.5
15.47201,15.57497,15.90389,16.16473,16.41831,9899,0.09
18.79104,17.69725,17.5851,17.58982,17.65203,7500,-2
18.24132,16.70968,16.09472,15.86202,15.76519,5261,-0.03
19.797,18.65518,18.57625,18.59319,18.59579,8500,-0.5
21.85774,19.19735,17.9402,17.4306,17.23153,3962,-0.36
22.19682,19.53899,18.02059,17.1968,16.72172,3980,-0.04
18.5513,17.5738,17.32834,17.29379,17.24489,6500,-1.5
18.20682,17.03266,16.59724,16.39196,16.30338,5873,-0.45
18.71851,17.75764,17.41603,17.27969,17.27299,6000,-1.5
18.8099,17.94278,17.70672,17.59936,17.58234,6000,0
18.02082,16.95089,16.70526,16.62711,16.64225,6500,-1
18.23391,17.04955,16.55303,16.38659,16.3125,5720,-0.54
25.14134,21.75103,20.20788,19.11071,18.49293,3717,-0.2
19.06706,17.78489,17.24868,17.02733,16.9588,5665,-0.99
23.27281,21.02498,19.97949,19.67644,19.51854,4353,-0.47
18.86989,17.63711,17.13568,16.9218,16.81947,5665,-0.99
19.23783,17.93051,17.4585,17.3201,17.25217,5474,-0.67
20.02775,19.15964,18.85127,18.73131,18.62257,6162,-2.26
19.33209,17.72443,17.11713,16.88623,16.82107,5221,-0.24
19.65743,18.18861,16.95552,16.68489,16.51345,5169,-0.17
18.84282,17.57157,17.02377,16.81907,16.70304,5630,-0.45
18.24265,17.74759,17.63479,17.61646,17.65725,7500,-2.5
18.47952,17.4885,17.15911,17.02257,16.97942,6000,-2
18.13915,17.00677,16.60824,16.4629,16.41653,5790,-0.65
21.10942,19.36225,18.63176,18.34206,18.21555,5059,-0.16
19.06437,17.80689,17.21645,16.98142,16.81627,5073,-1.44
19.85537,19.9742,20.25889,20.58451,20.83413,5000,0
19.06254,18.07661,17.65415,17.47791,17.40232,6000,-1
18.46581,17.35166,17.21083,17.22671,17.29245,7500,-1
17.03639,15.86272,15.44779,15.306,15.23367,5373,-1.08
23.22164,20.78226,18.88017,17.84412,17.25915,3717,-0.2
22.98936,20.56856,19.03903,16.99877,15.84063,3714,-0.57
18.53615,17.31698,17.03643,16.94301,16.89805,6500,-2
19.28829,17.9761,17.97654,17.9882,18.07684,8500,-0.5
18.94073,17.80078,17.4077,17.24629,17.20279,6000,-1
18.43512,17.30352,17.19988,17.21554,17.21168,7500,-1.5
18.73194,17.73994,17.42425,17.29153,17.2543,6000,-2
18.27868,17.3452,17.088,16.95724,16.92773,6500,-2.5
15.70168,14.58722,14.40353,14.36599,14.43032,7134,-0.07
20.29221,19.14953,18.99714,18.97365,18.97546,8500,-1
18.69144,17.61558,17.20117,17.03712,16.97945,5613,-0.94
18.59831,17.32915,17.30964,17.3299,17.31147,7500,-2
18.00918,16.9754,16.63921,16.50193,16.49563,6000,-1.5
19.90557,17.32327,16.2546,15.863,15.65124,4382,-0.28
20.60659,19.51278,19.26434,19.17405,19.12721,6500,-2
17.02405,15.99468,15.60916,15.44568,15.37314,5734,-1.56
20.37675,20.20658,20.50474,20.74228,21.31798,7652,0.06
19.45107,18.38657,18.23066,18.18887,18.19806,6808,-1.24
19.89175,20.08175,20.32298,20.63092,20.78814,9500,-1.5
17.03706,15.85252,15.65633,15.60911,15.59849,7235,-0.36
19.43612,18.3378,18.18679,18.16129,18.19179,7852,-1.67
19.85343,18.83793,18.64511,18.58679,18.59007,7500,-2
19.35145,18.12385,18.07881,18.0816,18.12495,7500,-1.5
19.82897,18.14418,17.95182,18.05949,18.36673,7134,-0.07
20.21635,19.00464,18.91041,18.89328,18.89704,7852,-1.67
22.28057,19.09395,17.99852,17.45827,17.22489,4576,-0.39
21.16613,20.13244,19.6615,19.41154,19.24929,5850,-0.92
22.1809,19.73117,18.30559,17.97781,17.27904,3858,-0.06
19.48027,18.17562,17.64455,17.44124,17.33864,5320,-0.76
19.59425,18.33615,17.91066,17.67362,17.56625,5661,-0.37
20.79597,19.43257,18.7913,18.64495,18.5339,5047,-1.34
19.68695,19.67472,20.02325,20.32162,20.62666,9000,-2.5
17.6581,16.55548,16.70726,16.87932,16.9435,8500,-2.5
20.34051,18.55949,17.7715,17.42129,17.26987,5651,-0.32
19.25194,18.2717,18.01712,17.90655,17.8851,6500,-2
18.6759,17.38285,16.86903,16.68229,16.58761,5320,-0.76
16.79231,15.50062,14.92929,14.68886,14.54752,5152,-1.42
22.38553,20.95257,19.41383,17.22142,16.01249,3717,-0.2
20.93347,19.69685,19.19497,19.05367,19.03417,5405,-1.7
19.59906,18.33547,18.39017,18.49881,18.59277,7652,0.06
17.91939,16.81043,16.66582,16.64259,16.65866,7000,-1
17.82972,16.84997,16.52111,16.38367,16.35341,6000,-1.5
20.05687,19.01903,18.8047,18.75402,18.72585,6500,-1.5
19.26475,18.82206,19.04992,19.28696,19.41995,7652,0.06
19.97817,19.88066,20.21217,20.42117,20.54344,7652,0.06
17.18925,15.98545,15.53578,15.36095,15.28022,5720,-0.54
18.15341,17.09871,16.73118,16.59341,16.54883,6000,-1.5
19.24451,17.92299,17.37385,17.15999,17.06432,5625,-0.21
19.02747,17.83204,17.60946,17.5548,17.54848,7000,-1
16.29776,15.26695,15.0939,15.05828,15.10017,7000,-1
17.07886,16.14677,15.77444,15.61557,15.5875,6000,-1.5
18.93829,17.79384,17.36567,17.19469,17.12869,5659,-0.6
21.08582,18.72955,17.309,16.38904,15.80385,3858,-0.06
23.88311,21.90872,19.93532,19.13917,18.70678,3980,-0.04
18.28935,17.00251,16.81116,16.78335,16.81202,7000,-0.5
18.46721,17.32436,17.17588,17.16808,17.17087,7500,-1
19.51202,18.28237,18.27456,18.31461,18.25486,8500,-0.5
18.37166,17.14814,16.67478,16.48941,16.43557,5762,-0.42
17.7792,16.74297,16.34375,16.17258,16.11201,6000,-1
17.745,16.5887,16.12548,15.95214,15.87635,5373,-1.08
18.88985,17.75533,17.61591,17.59858,17.6076,7134,-0.07
18.58167,18.34655,18.65664,18.91636,19.22123,9000,-2.5
20.17944,19.00296,18.49642,18.30699,18.21752,5320,-0.76
