u,g,r,i,z,Teff
20.38151,19.37537,19.21505,19.16597,19.13596,7228
19.73752,17.27913,16.26984,15.88425,15.68255,4382
19.67811,19.27399,19.45332,19.66295,19.8177,9000
20.30951,18.20439,17.28208,17.06037,16.88369,5000
19.17514,17.91224,17.96631,18.03886,18.08692,7852
18.7004,17.73852,17.5738,17.53331,17.5471,7500
18.78809,17.5144,17.36376,17.31857,17.33303,6000
18.20788,17.25087,16.97609,16.88072,16.85116,6500
24.71672,21.97482,20.07769,19.28586,18.77739,3858
15.56139,17.39265,14.28339,14.80628,14.33446,6500
17.70102,16.64814,16.51574,16.51176,16.47037,7500
19.2775,18.1633,18.04046,18.07722,18.12487,7852
17.71469,16.65002,16.31215,16.18281,16.16625,6000
18.5349,18.12719,18.16023,17.60525,17.07413,9000
21.50978,19.56351,18.62601,18.029,17.62926,3858
20.54537,19.46505,19.40837,19.4938,19.55212,8500
19.84403,18.43092,17.83183,17.5232,17.4386,5285
17.90112,16.64699,16.11402,15.89401,15.78121,5152
22.63416,20.10245,18.75666,18.19916,17.88175,3962
16.33291,15.45807,15.18676,15.11253,15.0883,6000
18.8957,17.94676,17.63062,17.50597,17.4584,5952
20.19409,19.24806,18.92909,18.8118,18.83224,6000
20.46435,19.54534,19.16078,18.9874,19.00861,6064
20.03082,19.10045,18.85182,18.75079,18.68359,6000
23.25657,20.6414,19.17714,18.31034,17.84544,3980
20.35807,19.25667,18.90455,18.77562,18.73719,5734
20.28111,19.87623,20.03711,20.30334,20.52339,7439
20.29074,19.26704,19.19617,19.21416,19.21044,7500
18.2555,17.02831,16.57646,16.43406,16.37144,5630
18.98902,17.78464,17.80002,17.82792,17.90246,7500
20.65471,19.59503,19.1135,18.91948,18.85026,8500
25.39871,24.92517,22.54525,19.8855,18.28718,5260
19.78024,18.80038,18.45352,18.34569,18.2994,5961
20.40201,18.48056,17.73169,17.47798,17.34833,4955
18.80834,17.62057,17.19436,17.03321,16.9948,5630
17.60493,16.26435,15.80755,15.64076,15.58172,5563
17.07498,15.90343,15.49232,15.35157,15.29208,5762
18.55565,17.68956,17.453,17.35089,17.35695,6500
20.44395,19.46982,19.32656,19.28182,19.2468,7500
24.16118,23.44878,21.8653,18.94564,17.30968,3717
18.89075,17.84574,17.51868,17.39851,17.36796,6000
20.12587,19.09748,19.0216,19.00596,19.09889,7500
19.88254,18.0418,17.38627,17.15555,17.06094,4955
18.99976,17.93686,17.56076,17.44353,17.44297,6000
18.74275,17.26978,16.62725,16.34429,16.21385,6275
22.4147,21.85908,21.43992,20.39782,19.50966,3717
18.261,17.1095,16.60116,16.39906,16.30808,6000
17.27724,17.16069,17.53521,17.81269,18.04781,7652
18.57691,17.09036,16.87376,16.81978,16.76803,7500
19.13264,17.85274,17.31403,17.08397,16.97328,6000
18.82058,17.57324,17.00532,16.7718,16.61172,5613
19.44095,18.30838,18.26834,18.29951,18.37789,7518
18.06862,17.64849,17.93636,18.07474,18.33906,7652
21.56305,19.2012,17.76762,17.11802,16.75748,3962
18.49726,17.37068,16.97899,16.84624,16.80118,5373
18.75909,17.62951,17.23588,17.07592,17.06839,5890
19.17664,18.8283,18.88975,18.99784,19.1014,7652
16.84267,15.38513,14.86922,14.71534,14.67066,5480
19.64516,18.46974,17.96894,17.93103,17.75591,5671
17.72202,16.56575,16.15912,15.99926,15.95605,5720
22.58308,20.19563,18.79206,18.19383,17.81592,3890
18.987,17.66152,17.23423,17.0581,16.97153,6000
20.14039,19.02472,18.90889,18.94321,18.95576,7500
22.08754,19.27412,17.8539,16.9868,16.50531,3980
17.52233,16.29145,15.86183,15.70445,15.66254,5762
18.93363,17.99365,17.64187,17.5026,17.4916,6000
18.15352,17.08876,16.64293,16.45568,16.35603,6000
19.44839,18.05101,17.53385,17.34435,17.26397,5476
21.81623,19.91234,19.10395,18.85134,18.59145,4576
18.30891,17.17433,16.81747,16.68911,16.64732,6000
18.69099,17.509,16.97835,16.72907,16.62308,5000
19.14013,18.12137,17.81142,17.70382,17.65718,6000
18.42685,17.44692,17.1624,17.04406,16.98875,6500
20.64607,19.62866,19.23873,19.07969,18.99956,6000
19.67206,18.24395,17.71602,17.51831,17.37658,5285
19.09336,17.95736,17.50762,17.35088,17.25573,5665
18.44062,17.10099,16.54119,16.32747,16.22194,5047
20.41852,18.67162,18.04442,17.82761,17.69387,5169
22.00746,19.25332,17.96785,17.41692,17.09507,3962
20.40484,19.27827,18.84236,18.68185,18.69153,6000
20.63176,19.55658,19.15943,18.92395,18.86047,5645
21.29862,19.14685,18.28459,17.96222,17.85449,4955
17.27215,16.10804,15.67583,15.50102,15.43411,5966
24.45593,22.94798,22.01388,19.69589,18.41971,3717
19.34693,18.04756,17.49198,17.25258,17.13416,5704
16.99458,15.89485,15.5403,15.39632,15.37242,6000
17.46596,16.37214,16.02768,15.90383,15.90213,6000
21.65613,19.47689,18.40982,18.03019,17.80568,4382
19.2604,18.83144,18.871,18.94983,19.03333,7652
18.67618,18.17216,18.32072,18.46478,18.81606,7652
18.95974,17.94345,17.58205,17.43977,17.39056,6000
22.22547,19.74017,18.53469,18.01307,17.78328,4382
18.13917,16.86941,16.39452,16.24475,16.20316,5575
22.62826,20.12755,18.60081,17.82628,17.36308,3980
21.6129,20.8898,20.63954,20.05179,19.45436,3820
19.60349,18.00184,17.42548,17.25718,17.18861,7354
17.59656,16.45986,16.03699,15.87612,15.83298,5873
18.27549,17.13985,16.75728,16.6209,16.55912,5790
19.25988,18.02528,17.59606,17.44376,17.40652,5630
18.71701,17.67699,17.57771,17.59379,17.64067,7500
21.0641,18.59718,17.53441,17.13069,16.91208,4382
17.03674,15.90299,15.55172,15.41759,15.38048,6163
19.24626,18.07815,17.62558,17.47852,17.38261,5720
19.05103,17.84616,17.41057,17.24782,17.191,5628
17.59233,16.48953,16.0504,15.89767,15.85089,5704
23.8541,21.97735,20.62868,20.00142,19.53082,3858
18.2179,17.19083,16.77994,16.61049,16.56021,6000
16.77543,15.84021,15.56889,15.45393,15.43508,6500
